"mp_id","Longitude","Latitude","Concentration.Class","speed_sum","speed_avg","ve_avg","vn_avg","buoy_count","measurement_count"
16123,-18.1648,25.6204,"High",24.7755961538462,24.7755961538462,-11.731,-5.92151923076923,1,1
16124,-17.5687,25.9888,"High",76.9185432085439,19.229635802136,-3.19242994644454,-1.96717970352114,1,4
16125,-16.8288,25.6958,"Medium",86.2971108086308,28.7657036028769,-17.367556261343,-6.05674445872824,1,3
16128,-18.1438,24.3061,"Low",28.0221944444444,28.0221944444444,-14.3128611111111,-14.2215555555556,1,1
16130,-17.5836,24.2975,"Medium",189.590434260977,31.5984057101629,-16.9521263528138,-18.7933008219955,1,6
16131,-17.7,24.6667,"Medium",28.5589655172414,28.5589655172414,-19.8524482758621,-15.4152068965517,1,1
16132,-17.4917,24.7347,"Low",23.966175,23.966175,-11.819525,-4.0103,1,1
16133,-19.64,25.6383,"Low",15.5867624309392,15.5867624309392,-3.95558011049724,-4.53303314917127,1,1
16134,-18.448,25.6567,"Medium",23.5189015151515,23.5189015151515,-11.2842727272727,-2.95059090909091,1,1
16135,-19.2615,25.7527,"Medium",18.4954947368421,18.4954947368421,-7.9395,-6.39728947368421,1,1
16136,-20.5279,25.7649,"Medium",26.4540354747999,13.2270177374,-1.96885653255462,-4.72583338741077,1,2
16138,-20.2733,26.0283,"Medium",17.4315939393939,17.4315939393939,-2.18078181818182,-2.43256363636364,1,1
16139,-19.3518,26.1188,"Medium",39.3388016129032,19.6694008064516,-4.1951664516129,-0.62430048387097,1,2
16140,-19.5708,25.106,"Medium",45.5458518518518,22.7729259259259,-10.9366030092593,-12.2291888503086,1,2
16141,-18.59,25.38,"Very Low",17.6695337423313,17.6695337423313,-7.93058895705521,-5.53848466257669,1,1
16144,-18.9009,25.1641,"Medium",26.6660714285714,26.6660714285714,-10.3924857142857,-14.1894428571429,1,1
16145,-19.1083,25.4348,"Medium",19.1391764705882,19.1391764705882,-6.32389915966387,-8.9332268907563,1,1
16147,-19.7887,24.5642,"Low",46.8593365648436,23.4296682824218,-14.7927049570149,-11.7169101884032,1,2
16148,-19.2968,24.7292,"Medium",13.2632732240437,13.2632732240437,-5.47228961748634,-5.34104918032787,1,1
16149,-19.8333,24.4469,"High",63.6565986482072,21.2188662160691,-12.93680136949,-9.47205415055768,1,3
16150,-18.2827,24.3935,"Medium",23.909350877193,23.909350877193,-9.37663157894737,-17.2578771929825,1,1
16151,-18.8101,24.8857,"Low",14.3659526627219,14.3659526627219,-2.4152899408284,-6.27449704142012,1,1
16152,-18.1717,24.9433,"Medium",17.1344698795181,17.1344698795181,-8.82646987951807,-3.32763855421687,1,1
16153,-18.4138,25.0864,"Medium",21.229203125,21.229203125,-8.876875,-1.75084375,1,1
16154,-23.6505,25.4415,"Medium",36.1542047829286,18.0771023914643,-3.5160243745401,-3.64707378587197,1,2
16155,-37.2534,25.5796,"Medium",349.692897524731,13.4497268278743,-2.76716756586137,-0.00996495122060336,1,26
16156,-20.8627,25.5237,"Medium",25.0404223807536,12.5202111903768,-2.15608167001859,-1.79042055932911,1,2
16157,-23.6696,25.6064,"Low",76.6264140005956,12.7710690000993,-5.25593540533978,-2.70189214304268,1,6
16158,-43.1399,26.2599,"Medium",717.370042401704,15.2631923915256,-5.9546971809814,0.465396368610578,1,47
16159,-21.49,26.27,"Low",86.2837062022457,17.2567412404491,-2.52695653430795,-3.56111707307038,1,5
16160,-26.5308,25.6829,"Very High",424.028596140783,13.678341810993,-4.97274033024583,-1.68986927057333,1,31
16161,-21.65,24.5833,"Medium",76.8313583935356,19.2078395983839,-8.04721438224581,-4.80767665388198,1,4
16162,-24,24.8833,"Medium",100.777440417445,16.7962400695742,-6.26830312471815,-4.64199378303442,1,6
16163,-26.2117,24.9933,"Medium",83.4728503215131,13.9121417202522,-5.49287746697734,-0.458656601341041,1,6
16164,-32.3353,25.1705,"Medium",369.902186412235,13.7000809782309,-4.29455992251171,-0.872477357583515,1,27
16165,-20.673,25.0133,"Medium",31.2322731730791,15.6161365865396,-3.85098367286143,1.19828790760558,1,2
16166,-21.12,25.2457,"Medium",28.8606720729533,14.4303360364766,-5.29212796806715,-3.570492277109,1,2
16167,-23,25.2758,"Medium",81.4916264918036,13.5819377486339,-3.64342829480115,-3.81492051411525,1,6
16168,-29.1592,24.3364,"Medium",417.079675154973,14.3820577639646,-6.29318716671491,-0.856076255180788,1,29
16169,-21.2217,24.2317,"Medium",33.4473318604651,16.7236659302325,-8.72011953488372,-0.487630988372093,1,2
16170,-22.1,24.2833,"Medium",78.1604412323632,19.5401103080908,-11.1005753458326,-6.42206938997924,1,4
16171,-25.9383,24.5117,"Medium",130.70296766678,16.3378709583475,-7.23934124603919,0.982516912238698,1,8
16172,-31.7817,24.37,"Medium",248.662759144375,14.6272211261397,-7.15873428776847,-2.52641577230282,1,17
16173,-20.63,24.2567,"Medium",56.1424007504773,18.7141335834924,-7.65083697267395,-2.20968507578617,1,3
16174,-24.4956,24.5338,"Medium",161.004897394498,16.1004897394497,-8.90902949195645,0.239120073332936,1,10
16175,-19.3,22.8395,"Very Low",47.355869047619,23.6779345238095,-14.0983876488095,-6.76937127976191,1,2
16176,-19.1172,22.9035,"Medium",37.2707179487179,18.635358974359,-8.76132564102562,3.51961794871795,1,2
16177,-20.3488,23.7115,"Very Low",64.9633048373196,16.2408262093299,-6.653260537869,-4.72862271735617,1,4
16178,-18.7063,23.5153,"Medium",168.953792405063,33.7907584810127,-19.2255341561181,-24.2888674261603,1,5
